Comment,Designator,Footprint,LCSC Part #
1N5819WS,D9,SOD323,C191023
1N5819WS,D10,SOD323,C191023
10NF/50V,C6,C0402,C15195
100K,R21,R0402,C25741
105450-0101-JLC-SIMPLE,J1,MOLEX_105450-0101-SIMPLE,C134092
AP2112K-JLC,U4,SOT-23-5,C51118
B5819W,D2,SOD-123,C8598
B5819W,D6,SOD-123,C8598
BUTTONPCB-CONDUCTIVE,A B C_DOWN C_LEFT C_RIGHT C_UP D_DOWN D_LEFT D_RIGHT START,BUTTON-PAD,
CP2102-JLC,U2,QFN50P500X500X80-29N,C6568
C_1UF/25V_0402,C13,C0402,C52923
C_1UF/25V_0402,C16,C0402,C52923
C_4.7UF/10V_0402,C3,C0402,C23733
C_10UF/6.3V_0402,C14,C0402,C15525
C_10UF/6.3V_0402,C15,C0402,C15525
C_100NF/16V_0402,C4,C0402,C1525
C_100NF/16V_0402,C5,C0402,C1525
C_100NF/16V_0402,C7,C0402,C1525
C_100NF/16V_0402,C8,C0402,C1525
C_100NF/16V_0402,C9,C0402,C1525
C_100NF/16V_0402,C10,C0402,C1525
D_UP,D_UP,BUTTON-PAD,
ESP32-WROOM-32E_4MB,U1,ESP32-WROOM-32E,C701341
NMOS-2N7002,T8,SOT23,C8545
P6SMB6-JLC,D3,P6SMB6,C78395
P6SMB6-JLC,D4,P6SMB6,C78395
P6SMB6-JLC,D5,P6SMB6,C78395
PMOS_AO3401A,T3,SOT23,C15127
PMOS_AO3401A,T6,SOT23,C15127
R_1.1K_0603,R9,R0603,C22764
R_1M_0402,R22,R0402,C26083
R_1R_0402,R11,R0402,C25086
R_1R_0402,R12,R0402,C25086
R_1R_0402,R13,R0402,C25086
R_1R_0402,R14,R0402,C25086
R_4.7K_0402,R2,R0402,C25900
R_10K_0402,R4,R0402,C25744
R_10K_0402,R5,R0402,C25744
R_10K_0402,R7,R0402,C25744
R_10K_0402,R8,R0402,C25744
R_24K_0402,R3,R0402,C25769
R_47K_0402,R6,R0402,C25792
R_100K_0402,R15,R0402,C25741
R_100K_0402,R16,R0402,C25741
R_100K_0402,R17,R0402,C25741
R_100K_0402,R18,R0402,C25741
R_330R_0402,R23,R0402,C25104
R_470R_0402,R1,R0402,C25117
R_470R_0402,R10,R0402,C25117
R_470R_0402,R20,R0402,C25117
TP4056,U3,SOP127P600X175-9N,C16581
TS1187-SIMPLE,BOOT,TS1187,C318884
TS1187-SIMPLE,RESET,TS1187,C318884
T_NPN_SS8050_CHANGJ_SOT23-BEC,T1,SOT23,C2150
T_NPN_SS8050_CHANGJ_SOT23-BEC,T2,SOT23,C2150
