Designator,Mid X,Mid Y,Layer,Rotation
A,109.08, 5.54,Top,90.0
B,98.38,17.09,Top,0.0
BOOT,75.23,27.29,Top,180.0
C3,89.87,28.50,Top,270.0
C4,88.56,28.51,Top,270.0
C5,62.90,40.41,Top,180.0
C6,59.22,44.97,Top,270.0
C7,86.36,32.88,Top,270.0
C8,61.50,49.22,Top,270.0
C9,62.90,39.09,Top,180.0
C10,62.80,48.02,Top,270.0
C13,42.84,50.03,Top,0.0
C14,58.78,50.31,Top,90.0
C15,61.95,55.81,Top,90.0
C16,61.89,53.29,Top,270.0
C_DOWN,120.98,16.61,Top,180.0
C_LEFT,110.75,26.68,Top,180.0
C_RIGHT,131.09,26.66,Top,180.0
C_UP,120.98,36.67,Top,180.0
D2,52.82,53.13,Top,0.0
D3,42.27,37.81,Top,0.0
D4,43.16,41.84,Top,0.0
D5,41.73,33.80,Top,0.0
D6,52.85,51.07,Top,180.0
D9,53.09,44.22,Top,90.0
D10,51.24,44.22,Top,90.0
D_DOWN,17.74,12.76,Top,180.0
D_LEFT, 8.45,22.15,Top,180.0
D_RIGHT,27.67,22.13,Top,180.0
D_UP,17.76,32.12,Top,180.0
J1,56.20,64.13,Top,189.0
R1,49.61,61.90,Top,12.0
R2,92.72,26.14,Top,90.0
R3,90.62,26.16,Top,270.0
R4,89.27,37.87,Top,180.0
R5,94.35,25.81,Top,270.0
R6,91.67,26.14,Top,90.0
R7,91.19,34.90,Top,270.0
R8,63.96,49.05,Top,90.0
R9,37.34,38.51,Top,180.0
R10,49.19,63.93,Top,12.0
R11,39.36,48.18,Top,270.0
R12,40.39,48.18,Top,270.0
R13,41.42,48.18,Top,270.0
R14,42.45,48.18,Top,270.0
R15,52.56,49.13,Top,180.0
R16,60.38,47.42,Top,180.0
R17,62.87,43.68,Top,180.0
R18,62.85,45.14,Top,0.0
R20,49.39,62.91,Top,192.0
R21,60.39,45.02,Top,270.0
R22,62.83,41.59,Top,0.0
R23,62.86,42.65,Top,180.0
RESET,59.36,27.29,Top,180.0
START,67.81,15.52,Top,0.0
T1,88.03,40.27,Top,0.0
T2,88.33,35.23,Top,0.0
T3,49.36,56.12,Top,270.0
T6,56.44,48.05,Top,180.0
T8,56.32,44.11,Top,180.0
U1,74.60,46.25,Top,90.0
U2,94.40,30.58,Top,90.0
U3,36.50,43.30,Top,0.0
U4,56.96,54.33,Top,270.0
